date,open,high,low,close,volume,SMA_FAST,SMA_SLOW,SMA_CROSS_LONG_SIGNAL,SMA_CROSS_SHORT_SIGNAL,EMA_FAST,EMA_SLOW,EMA_CROSS_LONG_SIGNAL,EMA_CROSS_SHORT_SIGNAL,RSI,RSI_LONG_SIGNAL,RSI_SHORT_SIGNAL,ADX,ADX_LONG_SIGNAL,ADX_SHORT_SIGNAL,ADX_LONG_EXIT_SIGNAL,ADX_SHORT_EXIT_SIGNAL,BOLLINGER_UPPER,BOLLINGER_LOWER,BOLLINGER_LONG_SIGNAL,BOLLINGER_SHORT_SIGNAL,CCI,CCI_LONG_SIGNAL,CCI_SHORT_SIGNAL,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_LONG_SIGNAL,DONCHIAN_SHORT_SIGNAL,EMA_FAST,EMA_SLOW,MACD,MACD_SIGNAL,MACD_LONG_SIGNAL,MACD_SHORT_SIGNAL,SUPERTREND,SUPER_TREND_LONG_SIGNAL,SUPER_TREND_SHORT_SIGNAL,VOLUME_SPIKE,VOLUME_SPIKE_LONG_SIGNAL,VOLUME_SPIKE_SHORT_SIGNAL,WILLIAMSR,WILLIAMS_R_LONG_SIGNAL,WILLIAMS_R_SHORT_SIGNAL,STOCH_K,STOCH_D,STOCHASTIC_LONG_SIGNAL,STOCHASTIC_SHORT_SIGNAL,ATR,ATR_SPIKE_SIGNAL,MFI,MFI_LONG_SIGNAL,MFI_SHORT_SIGNAL,AROON_UP,AROON_DOWN,AROON_LONG_SIGNAL,AROON_SHORT_SIGNAL,CMF,CHAIKIN_MF_LONG_SIGNAL,CHAIKIN_MF_SHORT_SIGNAL,DEMA,DEMA_LONG_SIGNAL,DEMA_SHORT_SIGNAL,ENVELOPE_UPPER,ENVELOPE_LOWER,ENVELOPE_LONG_SIGNAL,ENVELOPE_SHORT_SIGNAL,HULL_MA,HULL_MA_LONG_SIGNAL,HULL_MA_SHORT_SIGNAL,KELTNER_UPPER,KELTNER_LOWER,KELTNER_LONG_SIGNAL,KELTNER_SHORT_SIGNAL,MOMENTUM,MOMENTUM_LONG_SIGNAL,MOMENTUM_SHORT_SIGNAL,OBV,OBV_SIGNAL_MA,OBV_LONG_SIGNAL,OBV_SHORT_SIGNAL,PIVOT,PIVOT_LONG_SIGNAL,PIVOT_SHORT_SIGNAL,PSAR,PSAR_LONG_SIGNAL,PSAR_SHORT_SIGNAL,ROC,ROC_LONG_SIGNAL,ROC_SHORT_SIGNAL,STOCH_RSI,STOCH_RSI_LONG_SIGNAL,STOCH_RSI_SHORT_SIGNAL,TEMA,TEMA_LONG_SIGNAL,TEMA_SHORT_SIGNAL,TRIX,TRIX_LONG_SIGNAL,TRIX_SHORT_SIGNAL,ULTIMATE_OSC,ULTIMATE_OSC_LONG_SIGNAL,ULTIMATE_OSC_SHORT_SIGNAL,VWAP,VWAP_LONG_SIGNAL,VWAP_SHORT_SIGNAL
2025-03-27 00:00:00+05:30,1800.0,1841.0,1798.1,1825.35,20829050,1734.25,1706.8670000000002,0,0,1770.2236180759285,1741.31611472597,0,0,86.36486852805625,0,0,38.61647356939786,1,0,0,0,1829.5057886070867,1638.9942113929133,0,0,151.096000894084,0,1,1843.7,1670.05,0,0,1770.2236180759285,1741.31611472597,28.90750334995846,16.541318842206888,0,0,1834.23,1,0,0,0,0,-10.567232939821553,0,0,89.43276706017843,85.07534312314039,0,0,26.96428571428576,0,85.8866941428088,0,0,14.285714285714285,78.57142857142857,0,1,0.18081000708781753,1,0,1782.8368005612679,0,0,1777.6062499999998,1690.89375,1,0,1779.0484523809523,0,0,1805.8558505360365,1694.3658505360363,1,0,114.19999999999982,1,0,84661766,21440371.55,1,0,1812.0166666666667,0,1,1732.1612299233689,0,0,6.673874295064719,1,0,1.0,0,1,1805.6682830658422,0,0,0.13829153627105129,1,0,61.279752161924726,0,0,1707.271564003929,1,0
2025-03-28 00:00:00+05:30,1829.0,1836.0,1805.85,1828.2,14386824,1740.625,1710.39,0,0,1779.1430614488625,1747.7519580796018,0,0,87.48314000539509,0,0,43.45264241417516,1,0,0,0,1843.2106227743445,1638.0393772256555,0,0,130.17751479289936,0,1,1843.7,1670.05,0,0,1779.1430614488625,1747.7519580796018,31.39110336926069,19.51127574761765,0,0,1741.9899999999998,0,1,0,0,0,-8.926000575871,0,1,91.073999424129,86.37105288415391,0,1,27.43571428571433,0,86.61177212160432,0,1,21.428571428571427,85.71428571428571,0,1,0.1907094471612978,1,0,1793.5586390142741,0,0,1784.1406249999998,1697.109375,1,0,1797.130119047619,0,0,1813.4879123897472,1701.607912389747,1,0,121.60000000000014,1,0,99048590,27156826.15,1,0,1821.4833333333333,1,0,1745.5458823325646,0,0,7.1252783311848145,1,0,1.0,0,1,1817.4637468353167,0,0,0.1627536223887116,1,0,62.67240823981744,0,0,1709.7701956156393,1,0
2025-04-01 00:00:00+05:30,1802.0,1809.9,1765.35,1767.85,14255503,1742.3975000000003,1713.0120000000002,0,0,1777.4056673798066,1749.2407019255572,0,0,66.46853863496611,0,0,46.65160710128905,1,0,0,0,1845.6078752179583,1639.1871247820422,0,0,57.94995418975954,0,1,1843.7,1670.05,0,0,1777.4056673798066,1749.2407019255572,28.16496545424934,21.242013688943988,0,0,1834.23,1,0,0,0,0,-43.67981572127849,0,1,56.320184278721506,78.94231692100965,0,1,30.721428571428614,0,78.7699316460142,0,1,28.57142857142857,92.85714285714286,0,1,0.051888790577347285,1,0,1792.2319878265585,0,0,1785.9574375000002,1698.8375625000003,1,0,1812.1867857142856,0,0,1813.6990635907237,1703.3590635907235,1,0,57.44999999999982,1,0,84793087,30797587.4,1,0,1823.3500000000001,1,0,1757.324376452657,0,0,3.3588634237605053,1,0,0.5580289935052895,0,1,1811.7473596796374,0,0,0.17860467245405243,1,0,50.23027676595405,0,0,1710.9354341455937,1,0
2025-04-02 00:00:00+05:30,1770.7,1799.2,1770.7,1796.9,5786782,1747.1649999999997,1715.925,0,0,1780.404795475221,1752.771020301442,0,0,70.5535055350553,0,0,49.81498851897923,1,0,0,0,1851.236064283271,1643.0939357167285,0,0,62.381436964201626,0,0,1843.7,1670.05,0,0,1780.404795475221,1752.771020301442,27.633775173778986,22.52036598591099,0,0,1741.9899999999998,0,1,0,0,0,-30.75911929017412,0,0,69.24088070982589,72.2116881375588,0,0,31.25000000000005,0,83.95937018282785,0,0,35.714285714285715,100.0,0,1,0.106523373565345,1,0,1795.975813391863,0,1,1790.8441249999996,1703.4858749999996,0,0,1825.0158333333334,0,1,1815.308438486845,1709.058438486845,0,0,64.70000000000005,1,0,90579869,35257821.85,1,0,1781.0333333333335,0,1,1767.689451278338,0,0,3.73513451102645,1,0,0.5904819435461528,0,0,1813.801077495402,0,1,0.19096319485001345,1,0,52.7341094259881,0,0,1711.629884365343,1,0
2025-04-03 00:00:00+05:30,1781.1,1804.0,1777.0,1794.85,5625019,1751.4075,1718.9740000000002,0,0,1782.6271346328792,1755.8879817605944,0,0,66.91592562651566,0,1,53.51527790719369,1,0,0,0,1856.0159241098056,1646.7990758901944,0,0,60.14931066426883,0,0,1843.7,1670.05,0,0,1782.6271346328792,1755.8879817605944,26.739152872284876,23.36412336318577,0,0,1834.23,1,0,0,0,0,-34.00626522798476,0,0,65.99373477201524,63.85159992018756,0,0,30.82142857142862,0,83.63075607014872,0,1,42.857142857142854,100.0,0,1,0.09038093750487199,1,0,1798.721736888876,1,0,1795.1926875,1707.6223125,1,0,1835.3265476190477,0,0,1819.014539583336,1711.574539583336,0,0,50.75,1,0,84954850,38938781.4,1,0,1788.9333333333334,1,0,1776.8107171249376,0,0,2.909810217304054,1,0,0.36218095997078986,0,0,1814.5745463567407,0,0,0.1998228220061904,1,0,50.69501241252216,0,0,1712.278279653681,1,0
2025-04-04 00:00:00+05:30,1813.0,1841.95,1811.1,1817.3,16770227,1757.7724999999998,1721.999,0,0,1787.9614216124362,1760.4370201486984,0,0,70.86317376554837,0,0,56.457811158697645,1,0,0,0,1862.1398243632168,1653.4051756367828,0,0,96.06309159650979,0,0,1843.7,1670.05,0,0,1787.9614216124362,1760.4370201486984,27.52440146373783,24.196178983296182,0,0,1741.9899999999998,0,1,0,0,0,-19.033886085075764,0,0,80.96611391492424,72.0669097989218,0,0,32.703571428571486,0,84.54208724717782,0,1,50.0,100.0,0,1,0.08406473975440518,1,0,1804.8553783170778,0,1,1801.7168124999996,1713.8281874999998,0,0,1842.4436904761906,0,0,1824.7974405753994,1715.697440575399,0,0,48.549999999999955,1,0,101725077,43997849.1,1,0,1791.95,1,0,1784.837431069945,0,0,2.74487632508833,1,0,0.4845908290185057,0,0,1820.3983525317658,0,0,0.20810145184897433,1,0,50.94476234020327,0,0,1714.6624257366475,1,0
2025-04-07 00:00:00+05:30,1762.8,1779.85,1738.2,1757.7,18997725,1761.0975000000003,1723.855,0,0,1783.305818287446,1760.2342779154615,0,0,57.36530675801929,0,1,55.90703663201951,1,0,0,0,1860.661340799444,1661.5336592005567,0,0,-2.947125829659196,0,0,1843.7,1670.05,0,0,1783.305818287446,1760.2342779154615,23.07154037198461,23.97125126103387,0,0,1834.23,1,0,0,0,0,-66.8480373105324,0,1,33.151962689467595,60.03727045880237,0,1,36.99642857142862,0,75.07626189430074,0,1,57.14285714285714,100.0,0,1,0.05168212521724039,1,0,1799.6835499245417,1,0,1805.1249375000002,1717.0700625000002,1,0,1846.0492857142858,0,0,1825.0024462348852,1713.102446234885,0,0,-12.649999999999864,1,0,82727352,47282878.35,1,0,1823.45,1,0,1843.7,0,0,-0.7145479707402425,1,0,0.0,0,0,1809.9968401265724,0,0,0.20844292867563396,1,0,47.547487721370075,0,0,1715.7414636874582,1,0
2025-04-08 00:00:00+05:30,1765.0,1782.0,1750.3,1769.15,17781936,1765.0925,1726.2420000000002,0,0,1781.1280000893776,1760.8947017735754,0,0,55.945293644408686,0,0,53.56332113137854,1,0,0,0,1858.7549750732235,1671.4300249267765,0,0,4.883410035349924,0,0,1843.7,1670.05,0,0,1781.1280000893776,1760.8947017735754,20.23329831580213,23.223660671987524,0,1,1741.9899999999998,0,1,0,0,0,-66.86098654708516,0,0,33.13901345291484,49.0856966857689,0,0,37.33214285714291,0,75.9991616323774,0,0,64.28571428571429,100.0,0,1,0.06343380164849145,1,0,1797.0495301792675,0,1,1809.2198124999998,1720.9651875,0,0,1844.717261904762,0,0,1825.826737069658,1712.2967370696579,0,0,-30.84999999999991,0,1,100509288,51791327.25,1,0,1758.5833333333333,0,1,1841.5900000000001,0,1,-1.7138888888888815,0,0,0.0,1,0,1803.888927619362,0,0,0.2043652628954229,1,0,46.65306279793141,0,0,1716.9660883755644,1,0
2025-04-09 00:00:00+05:30,1765.0,1775.0,1753.5,1765.0,11227304,1768.9675,1728.9460000000001,0,0,1778.6467693063964,1761.1987979384958,0,0,53.44884488448845,0,0,50.68046802237559,1,0,0,0,1855.2341995275033,1682.7008004724967,0,0,-6.88944083956718,0,0,1843.7,1670.05,0,0,1778.6467693063964,1761.1987979384958,17.447971367900664,22.068522811170155,0,0,1834.23,1,0,0,0,0,-74.59715639810432,0,0,25.402843601895693,30.564606581426048,0,0,37.525000000000055,0,70.6962829123416,0,0,71.42857142857143,100.0,0,1,0.08062379389012053,1,0,1793.921831793262,0,0,1813.1916874999997,1724.7433125,0,0,1838.2341666666666,0,0,1825.9049049677858,1711.4449049677858,0,0,-56.450000000000045,0,1,89281984,56128512.2,1,0,1767.1500000000003,1,0,1839.5222,0,0,-3.099179225342452,0,1,0.0,1,0,1797.5102083939605,0,0,0.19664891349326918,1,0,45.16419363390087,0,0,1717.651567727673,1,0
2025-04-11 00:00:00+05:30,1774.75,1819.4,1774.75,1806.75,16387883,1775.03,1731.6729999999998,0,0,1782.9703432592585,1764.5729610541628,0,0,55.935645110902826,0,0,48.252987596242875,1,0,0,0,1853.2669504841076,1696.7930495158923,0,0,55.26752203892787,0,0,1843.7,1691.55,0,0,1782.9703432592585,1764.5729610541628,18.39738220509571,21.334294689955268,0,0,1741.9899999999998,0,1,0,0,0,-35.023696682464504,0,0,64.9763033175355,41.17272012411535,0,0,39.275000000000055,0,71.82459631961092,0,0,78.57142857142857,21.428571428571427,1,1,0.09520241253792075,1,0,1798.343801459429,0,0,1819.40575,1730.65425,0,0,1829.1913095238097,0,0,1831.6011044946636,1713.0011044946632,0,0,0.20000000000004547,0,1,105669867,61782552.05,1,0,1764.5,0,1,1837.495756,0,0,0.01107082560682926,0,1,0.07306748142072668,1,0,1802.3701618728433,0,0,0.19116141860837654,1,0,53.901200457028544,0,0,1719.4696366411931,1,0
2025-04-15 00:00:00+05:30,1865.0,1876.8,1855.0,1864.9,24649172,1782.7175,1735.425,0,0,1795.5749058347571,1772.0045935686692,0,0,62.551440329218096,0,0,47.5060273360205,1,0,0,0,1864.65310549217,1700.78189450783,0,0,172.52215124665173,0,0,1876.8,1700.05,0,0,1795.5749058347571,1772.0045935686692,23.570312266087967,21.78149820518181,0,0,1741.9899999999998,1,0,0,0,0,-8.585858585858492,0,0,91.4141414141415,60.597762777857575,0,0,42.953571428571486,0,73.05869544826699,0,0,0.0,28.57142857142857,1,0,0.06549966342813586,1,0,1812.1599433202327,1,0,1827.2854374999997,1738.1495625,0,0,1821.4286904761902,0,0,1839.9050469237432,1722.335046923743,0,0,39.55000000000018,1,0,130319039,68199447.85,1,0,1800.3,1,0,1738.2,0,0,2.1667077546771996,0,0,0.26745362030836034,1,0,1820.614821576043,1,0,0.19354903290516035,1,0,56.06043746321329,0,0,1723.800217030725,1,0
2025-04-16 00:00:00+05:30,1883.8,1883.8,1860.5,1878.0,9568410,1791.2875,1739.155,0,0,1808.2556895524867,1779.856105156175,0,0,60.83032490974727,0,0,45.72921739772378,1,0,0,0,1875.5238084298855,1707.0511915701143,1,0,171.6828024284537,0,1,1883.8,1705.0,1,0,1808.2556895524867,1779.856105156175,28.39958439631164,23.105115443407776,1,0,2006.6550000000002,0,0,0,0,0,-3.9835164835164547,0,1,96.01648351648355,84.13564274938686,0,1,42.185714285714326,0,73.22626851261376,0,0,0.0,35.714285714285715,0,0,0.09357789776231555,1,0,1826.2876643347793,0,0,1836.0696874999996,1746.5053125,1,0,1816.6402380952381,1,0,1849.3867091214818,1731.3067091214818,1,0,49.799999999999955,1,0,139887449,75488170.75,1,0,1865.5666666666668,1,0,1740.972,1,0,2.7239908106334143,1,0,0.21688358754121842,0,0,1838.6750387187176,0,0,0.2021416731757597,1,0,56.43344254725687,0,0,1725.5622779013486,1,0
2025-04-17 00:00:00+05:30,1882.0,1919.7,1876.7,1906.7,17851542,1801.1025000000002,1743.3140000000003,0,0,1823.4009680828733,1789.2519492186807,0,0,61.60337552742613,0,0,43.12534024902583,1,0,0,0,1891.1965004720223,1711.008499527978,0,0,194.44969693778367,0,1,1919.7,1715.05,1,0,1823.4009680828733,1789.2519492186807,34.14901886419261,25.313896127564746,0,0,1769.65,0,1,0,0,0,-7.162534435261708,0,1,92.8374655647383,93.42269683178779,0,1,42.13571428571432,0,73.10558137959515,0,0,0.0,42.857142857142854,0,0,0.1307442140452032,1,0,1843.3718332365966,0,0,1846.1300625000001,1756.0749375,1,0,1820.1364285714285,0,0,1862.867974919436,1739.9879749194358,1,0,138.85000000000014,1,0,157738991,83195672.9,1,0,1874.1000000000001,1,0,1746.6851199999999,0,0,7.854173148174337,1,0,0.2395974593852688,0,0,1860.3901887459408,0,0,0.21727605067385358,1,0,58.63433076539716,0,0,1729.3433979310819,1,0
2025-04-21 00:00:00+05:30,1924.0,1950.7,1910.0,1927.1,17123649,1810.8475000000003,1748.0369999999998,0,0,1839.3546653008927,1799.462915943223,0,0,66.16601850610161,0,0,40.65888667754135,1,0,0,0,1911.1459256317648,1710.5490743682358,0,0,206.4381530397592,0,1,1950.7,1732.2,1,0,1839.3546653008927,1799.462915943223,39.89174935766982,28.229466773585763,0,0,2006.6550000000002,1,0,0,0,0,-11.10588235294124,0,1,88.89411764705876,92.58268890942686,0,1,43.4571428571429,0,79.6142498917599,0,0,0.0,50.0,0,0,0.09776971027006572,1,0,1861.554850236143,0,0,1856.1186875,1765.5763125000003,1,0,1828.9725,0,0,1876.671739212823,1750.1217392128228,1,0,130.19999999999982,1,0,174862640,91211678.05,1,0,1901.0333333333335,1,0,1757.0660128,0,0,7.24581223217764,1,0,0.3736576173073505,0,0,1882.9847324958976,0,0,0.23791094115515055,1,0,63.43000564150698,0,0,1733.225376299419,1,0
2025-04-22 00:00:00+05:30,1935.0,1970.6,1935.0,1961.7,22980875,1821.7274999999997,1753.7109999999998,0,0,1858.1770244853708,1811.4804777252064,0,0,67.54148977228867,0,0,37.41260759609834,1,0,0,0,1937.5474031845747,1705.9075968154248,0,0,208.04526259518153,0,1,1970.6,1738.2,1,0,1858.1770244853708,1811.4804777252064,46.69654676016444,31.9228827709015,0,0,1815.5049999999999,0,1,0,0,0,-3.8296041308088937,0,1,96.17039586919111,92.63399302699605,0,1,43.500000000000036,0,79.97799547058688,0,0,0.0,57.14285714285714,0,0,0.12428140178440572,1,0,1883.1287911429072,0,0,1867.2706874999997,1776.1843124999998,1,0,1843.5771428571434,0,0,1892.475859287792,1762.5658592877921,1,0,166.85000000000014,1,0,197843515,99996191.8,1,0,1929.2666666666664,1,0,1772.5567317759999,0,0,9.296041451931924,1,0,0.41407188947901463,0,0,1909.7533394569648,0,0,0.26463201627098254,1,0,65.30883376682057,0,0,1739.0899589715868,1,0
2025-04-23 00:00:00+05:30,1978.9,1978.9,1920.5,1923.9,15285321,1829.485,1757.771,0,0,1868.2882514876214,1819.8078497455615,0,0,61.29603399433427,0,0,33.902740194846544,1,0,0,0,1951.0075476154425,1707.9624523845573,0,0,151.66856744491403,0,1,1978.9,1738.2,1,0,1868.2882514876214,1819.8078497455615,48.48040174205994,35.23438656513319,0,0,2006.6550000000002,1,0,0,0,0,-22.850020772746152,0,1,77.14997922725385,87.40483091450125,0,1,45.517857142857174,0,72.66028231399899,0,0,0.0,64.28571428571429,0,0,0.06096120031055069,1,0,1895.0475126266556,0,0,1875.2221249999998,1783.7478749999998,1,0,1860.8676190476194,0,0,1905.0248250699071,1768.374825069907,1,0,106.60000000000014,1,0,182558194,107570590.05,1,0,1955.7666666666667,1,0,1792.3610585984,0,0,5.865844934793385,1,0,0.4506167974340109,0,0,1921.8746008551936,0,0,0.28942214767864183,1,0,57.49637829033919,0,0,1742.1922363681902,1,0
2025-04-24 00:00:00+05:30,1910.0,1923.9,1905.1,1916.8,12965877,1836.8075000000001,1761.351,0,0,1875.7515974126027,1826.9924534681124,0,0,70.10935601458078,0,0,33.4430509676322,1,0,0,0,1960.9477401997124,1712.6672598002879,0,0,99.71651965244,0,1,1978.9,1738.2,0,0,1875.7515974126027,1826.9924534681124,48.75914394449023,37.9393380410046,0,0,1815.5049999999999,0,1,0,0,0,-25.799750727046167,0,0,74.20024927295384,82.50687478979961,0,0,42.37142857142861,0,72.76250643720445,0,0,7.142857142857142,71.42857142857143,0,0,0.03925276338840075,1,0,1903.9039145749878,0,0,1882.7276875,1790.8873125,1,0,1879.7902380952385,0,0,1912.6784131584875,1775.9784131584872,1,0,159.0999999999999,1,0,169592317,113658987.85,1,0,1941.1000000000001,0,1,1814.745731566592,0,0,9.0516015247198,1,0,0.9567127877211824,0,0,1929.4645480032054,0,0,0.31040672053661567,1,0,57.543082781115615,0,0,1744.643587938571,1,0
2025-04-25 00:00:00+05:30,1924.8,1933.0,1891.8,1911.2,9250439,1842.3674999999998,1764.698,0,0,1881.2051978106638,1833.2300495075115,0,0,66.47448832516574,0,1,32.06369418025094,1,0,0,0,1969.4915391983568,1715.2434608016429,0,0,83.61888959693471,0,0,1978.9,1738.2,0,0,1881.2051978106638,1833.2300495075115,47.97514830315231,39.946500093434146,0,0,2006.6550000000002,1,0,0,0,0,-28.12629829663483,0,0,71.87370170336517,74.4079767345243,0,0,43.07500000000003,0,68.8678002379402,0,0,14.285714285714285,78.57142857142857,0,1,0.0169519475554493,1,0,1910.357933420097,0,0,1888.4266874999996,1796.3083124999998,1,0,1900.2083333333335,0,0,1920.092135714822,1781.302135714822,1,0,142.04999999999995,1,0,160341878,118850020.3,1,0,1915.2666666666667,0,1,1834.444243778601,0,0,8.029279597546847,1,0,0.7479842335379441,0,1,1933.6714244075588,0,1,0.32663942235435783,1,0,52.14409357458691,0,0,1746.2953044873486,1,0
2025-04-28 00:00:00+05:30,1911.2,1929.7,1908.4,1920.2,6960246,1847.3049999999998,1768.4470000000001,0,0,1887.2043981474847,1839.6722680625105,0,0,67.71230747491876,0,0,30.947011276919472,1,0,0,0,1978.6103929224785,1715.9996070775212,0,0,81.80869019412083,0,0,1978.9,1738.2,0,0,1887.2043981474847,1839.6722680625105,47.53213008497414,41.46362609174215,0,0,1815.5049999999999,0,1,0,0,0,-24.387203988367276,0,0,75.61279601163272,73.89558232931725,0,0,42.667857142857166,0,69.11924139353863,0,0,21.428571428571427,85.71428571428571,0,1,0.02393169336609674,1,0,1917.2607759910957,0,0,1893.4876249999998,1801.1223749999997,1,0,1921.345119047619,0,0,1924.6214561229342,1790.011456122934,0,0,155.20000000000005,1,0,167302124,123411529.65,1,0,1912.0,0,1,1851.778934525169,0,0,8.793201133144478,1,0,0.819064730421134,0,0,1938.722060889598,0,0,0.33928817372916864,1,0,50.90740245799163,0,0,1747.583314332816,1,0
2025-04-29 00:00:00+05:30,1918.8,1928.8,1900.2,1908.8,9459154,1852.4175,1772.3080000000002,0,0,1890.526798432487,1844.7928407986208,0,0,63.345974329054826,0,0,28.553192696576314,1,0,0,0,1984.9976972789545,1719.8373027210455,0,0,66.65191821986247,0,0,1978.9,1738.2,0,0,1890.526798432487,1844.7928407986208,45.73395763386634,42.31769240016699,0,0,2006.6550000000002,1,0,0,0,0,-29.12339011217288,0,0,70.87660988782713,72.78770253427501,0,0,41.34642857142858,0,63.54333791393331,0,0,28.57142857142857,92.85714285714286,0,1,0.0383953436710493,1,0,1921.0113832729862,0,0,1898.7279374999998,1806.1070625,1,0,1943.3549999999998,0,1,1929.8346507778929,1794.6046507778929,0,0,102.04999999999995,1,0,157842970,128112042.35,1,0,1919.4333333333334,1,0,1867.0334623821486,0,0,5.648263456482638,1,0,0.5940471674179377,0,1,1939.411516519535,0,0,0.3470207453454499,1,0,47.46640934965434,0,0,1749.1898709300833,1,0
